date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:19	200484/200484	---MCZ	200	added ('OK')	application/javascript	etag:%22b6227c1295e5d3489aa4c73e83978d7a-ssl-df%22	https://yitsince1997.com/_next/static/chunks/517-2fb33ef85400712d.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/517-2fb33ef85400712d.js	(from https://yitsince1997.com/)
21:40:19	463/463	---M--	200	added ('OK')	application/javascript	etag:%227fe627324f976f13f7e6996cad2431ec-ssl%22	https://yitsince1997.com/_next/static/chunks/main-app-cdc49106085b3106.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/main-app-cdc49106085b3106.js	(from https://yitsince1997.com/)
21:40:20	14646/14646	---MCZ	200	added ('OK')	application/javascript	etag:%225011bae28699d0b27d9c41854fc32e14-ssl-df%22	https://yitsince1997.com/_next/static/chunks/565-92460efc42a4513a.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/565-92460efc42a4513a.js	(from https://yitsince1997.com/)
21:40:22	120805/120805	---MCZ	200	added ('OK')	application/javascript	etag:%224773f7ec8abfd25cf7f8a81d3c8afef0-ssl-df%22	https://yitsince1997.com/_next/static/chunks/136-fe3a669a6433de94.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/136-fe3a669a6433de94.js	(from https://yitsince1997.com/)
21:40:23	12450/12450	---MCZ	200	added ('OK')	application/javascript	etag:%224dde6e2ce52101c436c44aefff57bebf-ssl-df%22	https://yitsince1997.com/_next/static/chunks/app/layout-85d43200e3e321af.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/app/layout-85d43200e3e321af.js	(from https://yitsince1997.com/)
21:40:24	25553/25553	---MCZ	200	added ('OK')	application/javascript	etag:%224b0f48bb6a6893bab7c054a7497583ce-ssl-df%22	https://yitsince1997.com/_next/static/chunks/726-43cdf399d4e06bf6.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/726-43cdf399d4e06bf6.js	(from https://yitsince1997.com/)
21:40:25	14366/14366	---MCZ	200	added ('OK')	application/javascript	etag:%227216ad9f472953031a7e1c18cedbfb86-ssl-df%22	https://yitsince1997.com/_next/static/chunks/app/page-112acd2e24afd724.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/app/page-112acd2e24afd724.js	(from https://yitsince1997.com/)
21:40:25	20265/20265	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22251ebbc695d2f720b81bc1c8ad741813-ssl%22	https://yitsince1997.com/favicon.ico	~/Documents/Leyla/sample-website/yitsince1997.com/favicon.ico	(from https://yitsince1997.com/)
21:40:27	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:%22fe95203a751fb876412693dcd824cd36-ssl-df%22	https://yitsince1997.com/_next/static/chunks/polyfills-42372ed130431b0a.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://yitsince1997.com/)
21:40:27	14175/14175	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jan%202025%2002:40:27%20GMT	https://yitsince1997.com/_next/image?url=%2Fyitlogo.png&w=256&q=75	~/Documents/Leyla/sample-website/yitsince1997.com/_next/imagee672.png	(from https://yitsince1997.com/)
21:40:29	29970/29970	---MCZ	200	added ('OK')	text/html	etag:%2214ri48icjyjn3q%22	https://yitsince1997.com/2025projects	~/Documents/Leyla/sample-website/yitsince1997.com/2025projects.html	(from https://yitsince1997.com/)
21:40:30	30465/30465	---MCZ	200	added ('OK')	text/html	etag:%224xy022f6punh7%22	https://yitsince1997.com/plays	~/Documents/Leyla/sample-website/yitsince1997.com/plays.html	(from https://yitsince1997.com/)
21:40:31	29151/29151	---MCZ	200	added ('OK')	text/html	etag:%2210v118qaw2jmh1%22	https://yitsince1997.com/etd	~/Documents/Leyla/sample-website/yitsince1997.com/etd.html	(from https://yitsince1997.com/)
21:40:32	33803/33803	---MCZ	200	added ('OK')	text/html	etag:%22jydg0vfgjgq2t%22	https://yitsince1997.com/gcc	~/Documents/Leyla/sample-website/yitsince1997.com/gcc.html	(from https://yitsince1997.com/)
21:40:33	24703/24703	---MCZ	200	added ('OK')	text/html	etag:%2215i0db7rlaaj25%22	https://yitsince1997.com/feedback	~/Documents/Leyla/sample-website/yitsince1997.com/feedback.html	(from https://yitsince1997.com/)
21:40:34	30709/30709	---MCZ	200	added ('OK')	text/html	etag:%22otfebwl31inon%22	https://yitsince1997.com/donate	~/Documents/Leyla/sample-website/yitsince1997.com/donate.html	(from https://yitsince1997.com/)
21:40:35	73841/73841	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2002:40:34%20GMT	https://yitsince1997.com/_next/image?url=%2Fabout2.jpg&w=1080&q=75	~/Documents/Leyla/sample-website/yitsince1997.com/_next/image73d5.jpg	(from https://yitsince1997.com/)
